tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presmax,presmin,year,month,day,rain_today,rain_tomorrow,horatmin_,horatmax_,horaracha_,horapresmin_
7.7,0.9,3.1,12.3,34.0,0.3,8.9,1.2,956.6,953.5,2013,1,1,1,0,1.0,14.0,20.0,14.0
6.7,0.0,-0.1,13.5,99.0,2.5,10.3,7.6,959.8,956.3,2013,1,2,0,0,7.0,14.0,17.0,1.0
6.8,0.0,-1.8,15.4,99.0,0.8,6.1,8.9,969.8,959.8,2013,1,3,0,0,7.0,14.0,16.0,0.0
6.1,0.0,-2.5,14.7,99.0,0.8,4.7,8.9,970.7,967.2,2013,1,4,0,0,7.0,14.0,17.0,15.0
6.4,0.0,-2.6,15.3,17.0,0.6,4.7,8.9,968.6,964.2,2013,1,5,0,0,7.0,15.0,18.0,16.0
5.9,0.0,-3.3,15.1,21.0,0.8,3.6,8.8,965.1,961.0,2013,1,6,0,0,7.0,16.0,18.0,17.0
5.4,0.0,-3.7,14.5,22.0,0.8,5.0,8.7,962.6,959.6,2013,1,7,0,0,7.0,16.0,17.0,14.0
5.2,0.0,-3.3,13.7,25.0,1.4,6.1,8.6,963.9,960.5,2013,1,8,0,0,6.0,15.0,18.0,15.0
4.7,0.0,-3.5,12.9,30.0,1.1,6.1,6.2,962.8,960.1,2013,1,9,0,0,5.0,15.0,16.0,14.0
9.0,0.0,1.0,17.0,99.0,0.8,7.2,6.2,961.5,956.7,2013,1,10,0,0,2.0,14.0,16.0,15.0
8.4,0.0,0.8,16.1,27.0,0.8,6.7,8.1,958.1,955.0,2013,1,11,0,1,7.0,14.0,16.0,16.0
6.6,3.0,-0.7,14.0,27.0,0.8,7.8,3.9,957.6,953.4,2013,1,12,1,1,5.0,14.0,18.0,24.0
7.4,4.3,3.8,10.9,35.0,3.6,12.8,4.8,953.4,949.7,2013,1,13,1,0,22.0,14.0,15.0,6.0
6.4,0.0,1.2,11.7,99.0,3.1,8.3,9.1,957.2,952.6,2013,1,14,0,0,23.0,14.0,15.5,0.0
4.5,0.0,-2.2,11.2,35.0,3.1,10.8,7.1,957.7,954.6,2013,1,15,0,1,7.0,14.0,17.0,15.0
5.8,8.1,2.1,9.4,27.0,1.4,9.7,0.0,957.4,950.7,2013,1,16,1,1,3.0,23.0,23.0,24.0
10.4,2.6,6.8,14.0,99.0,2.2,10.8,3.9,953.9,950.5,2013,1,17,1,1,18.0,14.0,15.0,1.0
10.9,3.8,8.3,13.5,99.0,3.6,10.3,0.0,952.1,941.1,2013,1,18,1,1,0.0,11.0,14.0,24.0
9.8,18.6,6.2,13.3,99.0,10.6,23.3,0.6,941.1,926.2,2013,1,19,1,1,15.0,5.0,14.5,8.0
7.8,10.8,5.4,10.1,30.0,3.6,15.3,1.2,945.5,933.5,2013,1,20,1,0,7.0,14.0,0.0,0.0
6.6,0.0,2.1,11.1,35.0,1.7,10.8,3.6,950.6,941.3,2013,1,21,0,1,23.0,14.0,14.0,1.0
